index,Unnamed: 0,team_id,team_name,fgm,fga,fgPcg,ptsTotal,stlTotal,blkTotal,won,played,wp
108,108,1214,Hampton,2872,7108,0.4040517726505346,8386,917,666,67,126,0.5317460317460317
109,109,1216,Hartford,2681,6456,0.415272614622057,7688,880,268,54,125,0.432
110,110,1217,Harvard,2671,5677,0.4704949797428219,8004,756,508,90,115,0.782608695652174
111,111,1218,Hawaii,3025,6642,0.4554351099066546,8627,664,411,65,118,0.5508474576271186
112,112,1219,High Point,2770,6320,0.4382911392405063,7794,710,376,50,114,0.43859649122807015
113,113,1220,Hofstra,2827,6891,0.4102452474241764,8313,798,424,46,127,0.36220472440944884
114,114,1221,Holy Cross,2752,6418,0.4287940168276721,7812,592,465,54,120,0.45
115,115,1222,Houston,3072,6695,0.4588498879761015,8617,681,558,59,120,0.49166666666666664
116,116,1223,Houston Bap,2612,6426,0.4064737005913476,7504,742,250,27,113,0.23893805309734514
117,117,1224,Howard,2302,6189,0.3719502342866376,6906,741,363,27,120,0.225
118,118,1225,Idaho,2887,6288,0.4591284987277353,8354,584,341,59,121,0.48760330578512395
119,119,1226,Idaho St,2453,5884,0.4168932698844323,7135,767,315,29,112,0.25892857142857145
120,120,1227,IL Chicago,2580,6356,0.4059156702328508,7375,625,293,33,118,0.2796610169491525
121,121,1228,Illinois,3243,7515,0.4315369261477046,9025,790,543,78,134,0.582089552238806
122,122,1229,Illinois St,2979,6901,0.4316765686132444,8668,791,518,65,127,0.5118110236220472
123,123,1230,Incarnate Word,399,863,0.4623406720741599,1152,100,54,9,15,0.6
124,124,1231,Indiana,3469,7353,0.4717802257581939,10151,880,467,85,136,0.625
125,125,1232,Indiana St,2832,6597,0.4292860391086858,8364,725,449,74,126,0.5873015873015873
126,126,1233,Iona,3828,7993,0.4789190541724008,10748,921,396,89,132,0.6742424242424242
127,127,1234,Iowa,3280,7381,0.4443842297791627,9404,922,531,69,129,0.5348837209302325
128,128,1235,Iowa St,3645,8041,0.4533018281308295,10399,834,408,88,134,0.6567164179104478
129,129,1236,IPFW,2958,6519,0.4537505752416014,8464,745,298,62,120,0.5166666666666667
130,130,1237,IUPUI,2939,6620,0.4439577039274924,8097,679,304,36,120,0.3
131,131,1238,Jackson St,2610,6527,0.3998774322046882,7560,864,348,43,120,0.35833333333333334
132,132,1239,Jacksonville,2816,6656,0.4230769230769231,7963,845,408,48,117,0.41025641025641024
133,133,1240,Jacksonville St,2505,5940,0.4217171717171717,7192,810,423,40,114,0.3508771929824561
134,134,1241,James Madison,3021,7048,0.4286322360953462,8712,838,462,65,131,0.4961832061068702
135,135,1242,Kansas,4027,8238,0.4888322408351541,11360,1033,809,122,147,0.8299319727891157
136,136,1243,Kansas St,3244,7451,0.4353778016373641,9293,834,523,90,132,0.6818181818181818
137,137,1244,Kennesaw,2649,6448,0.4108250620347394,7465,722,301,16,119,0.13445378151260504
138,138,1245,Kent,3109,7127,0.4362284271081801,8908,929,440,76,127,0.5984251968503937
139,139,1246,Kentucky,3796,8103,0.4684684684684684,10860,799,1009,112,144,0.7777777777777778
140,140,1247,La Salle,3388,7630,0.4440366972477064,9503,946,467,75,131,0.5725190839694656
141,141,1248,Lafayette,3004,6732,0.4462269756387403,8699,727,322,53,125,0.424
142,142,1249,Lamar,2934,6956,0.421794134560092,8239,725,459,37,120,0.30833333333333335
143,143,1250,Lehigh,3102,7095,0.4372093023255814,9075,859,422,76,126,0.6031746031746031
144,144,1251,Liberty,2878,6622,0.4346118997281788,8096,622,347,47,120,0.39166666666666666
145,145,1252,Lipscomb,2913,6716,0.4337403216200119,8524,839,247,53,117,0.452991452991453
146,146,1253,Long Beach St,3104,6939,0.4473267041360426,8749,755,331,73,123,0.5934959349593496
147,147,1254,Long Island,3470,7510,0.4620505992010652,10256,809,407,81,130,0.6230769230769231
148,148,1255,Longwood,2837,6620,0.4285498489425982,7813,671,228,24,113,0.21238938053097345
149,149,1256,Louisiana Tech,3151,7427,0.424262824828329,9036,954,503,78,127,0.6141732283464567
150,150,1257,Louisville,3943,8753,0.4504741231577744,11120,1454,693,119,149,0.7986577181208053
151,151,1258,Loy Marymount,2923,6968,0.4194890929965557,8323,846,390,48,122,0.39344262295081966
152,152,1259,Loyola MD,2861,6791,0.421292887645413,8255,916,538,70,124,0.5645161290322581
153,153,1260,Loyola-Chicago,2718,6212,0.4375402446877012,7754,639,309,45,121,0.371900826446281
154,154,1261,LSU,3113,7414,0.4198813056379822,8668,962,540,67,127,0.5275590551181102
155,155,1262,MA Lowell,544,1388,0.3919308357348703,1645,160,70,9,27,0.3333333333333333
156,156,1263,Maine,2806,6419,0.4371397413927403,7741,723,391,40,114,0.3508771929824561
157,157,1264,Manhattan,2852,6724,0.4241522903033908,8477,935,610,65,127,0.5118110236220472
158,158,1265,Marist,2802,6874,0.4076229269711958,8319,749,477,42,127,0.33070866141732286
159,159,1266,Marquette,3534,7771,0.4547677261613692,10112,1002,479,92,139,0.6618705035971223
160,160,1267,Marshall,3074,7149,0.4299902084207581,8818,740,493,61,126,0.48412698412698413
161,161,1268,Maryland,3354,7485,0.4480961923847695,9426,731,566,75,131,0.5725190839694656
162,162,1269,Massachusetts,3253,7521,0.4325222709746044,9223,930,613,81,126,0.6428571428571429
163,163,1270,McNeese St,2707,6616,0.4091596130592503,7672,766,435,51,114,0.4473684210526316
164,164,1271,MD E Shore,2439,6388,0.3818096430807765,6972,706,258,20,114,0.17543859649122806
165,165,1272,Memphis,3669,7774,0.4719578080782094,10201,1164,758,104,137,0.7591240875912408
166,166,1273,Mercer,3004,6769,0.4437878564041956,8814,860,495,79,127,0.6220472440944882
167,167,1274,Miami FL,3167,7230,0.4380359612724758,9093,773,512,84,133,0.631578947368421
168,168,1275,Miami OH,2668,6178,0.4318549692457106,7635,807,291,44,120,0.36666666666666664
169,169,1276,Michigan,3498,7508,0.4659030367607885,9725,726,323,98,138,0.7101449275362319
170,170,1277,Michigan St,3526,7655,0.4606139777922926,9845,992,624,99,139,0.7122302158273381
171,171,1278,Minnesota,3133,6947,0.4509860371383331,8966,934,654,76,130,0.5846153846153846
172,172,1279,Mississippi,3441,7961,0.4322321316417535,9882,933,719,86,135,0.6370370370370371
173,173,1280,Mississippi St,3016,6954,0.4337072188668392,8620,867,453,62,128,0.484375
174,174,1281,Missouri,3631,7741,0.4690608448520862,10457,997,486,97,135,0.7185185185185186
175,175,1282,Missouri KC,2748,6397,0.4295763639205878,7825,748,301,42,119,0.35294117647058826
176,176,1283,Missouri St,2885,6704,0.4303400954653938,8235,601,298,68,126,0.5396825396825397
177,177,1284,Monmouth NJ,2900,7052,0.4112308564946114,8175,951,254,42,125,0.336
178,178,1285,Montana,2785,5999,0.4642440406734456,8064,704,410,80,117,0.6837606837606838
179,179,1286,Montana St,2588,6241,0.4146771350745072,7533,718,252,44,113,0.3893805309734513
180,180,1287,Morehead St,2921,6649,0.4393141825838472,8579,1005,312,69,125,0.552
181,181,1288,Morgan St,2990,6937,0.43102205564365,8372,785,575,58,123,0.4715447154471545
182,182,1290,MS Valley St,2854,7223,0.3951266786653745,8280,938,303,45,123,0.36585365853658536
183,183,1291,Mt St Mary's,2935,6846,0.4287174992696465,8361,863,376,53,125,0.424
184,184,1292,MTSU,3054,6699,0.4558889386475593,8797,937,519,89,126,0.7063492063492064
185,185,1293,Murray St,2785,6073,0.4585871891980899,8281,788,413,84,115,0.7304347826086957
186,186,1294,N Colorado,2790,6073,0.4594105055162193,8044,675,239,54,114,0.47368421052631576
187,187,1295,N Dakota St,2948,6172,0.4776409591704472,8235,666,420,72,115,0.6260869565217392
188,188,1296,N Illinois,2388,6253,0.3818966895889973,7046,709,295,30,119,0.25210084033613445
189,189,1297,N Kentucky,1257,2981,0.421670580342167,3626,328,141,20,57,0.3508771929824561
190,190,1298,Navy,2450,6209,0.3945885005636979,6985,836,280,27,117,0.23076923076923078
191,191,1299,NC A&T,2700,6704,0.402744630071599,8196,772,491,48,125,0.384
192,192,1300,NC Central,2543,5728,0.4439594972067039,7571,808,373,69,113,0.6106194690265486
193,193,1301,NC State,3654,7886,0.4633527770732944,10003,829,570,84,137,0.6131386861313869
194,194,1303,NE Omaha,1896,4268,0.4442361761949391,5291,474,173,24,72,0.3333333333333333
195,195,1304,Nebraska,2809,6519,0.4308943089430894,7902,779,387,65,125,0.52
196,196,1305,Nevada,2947,6832,0.4313524590163934,8682,649,501,63,124,0.5080645161290323
197,197,1306,New Hampshire,2292,6045,0.3791563275434243,6654,544,325,36,114,0.3157894736842105
198,198,1307,New Mexico,3241,7209,0.4495769177417117,9619,803,524,103,134,0.7686567164179104
199,199,1308,New Mexico St,3317,7148,0.4640458869613878,9705,776,653,86,133,0.6466165413533834
200,200,1309,New Orleans,1058,2518,0.420174741858618,3087,302,131,13,46,0.2826086956521739
201,201,1310,Niagara,3098,7587,0.4083300382232767,9138,1018,359,49,130,0.3769230769230769
202,202,1311,Nicholls St,2523,5849,0.4313557873140707,7213,661,223,40,110,0.36363636363636365
203,203,1312,NJIT,2428,5912,0.4106901217861975,7029,702,354,43,104,0.41346153846153844
204,204,1313,Norfolk St,3099,7076,0.4379592990390051,8794,840,602,74,128,0.578125
205,205,1314,North Carolina,4046,8960,0.4515625,11051,1013,688,108,142,0.7605633802816901
206,206,1315,North Dakota,2768,6417,0.4313542153654355,7988,813,405,57,117,0.48717948717948717
207,207,1316,North Florida,2969,6750,0.4398518518518518,8452,713,425,56,126,0.4444444444444444
208,208,1317,North Texas,2909,6691,0.4347631146315946,8379,683,436,60,120,0.5
209,209,1318,Northeastern,2882,6569,0.438727355761912,8344,886,381,56,126,0.4444444444444444
210,210,1319,Northern Arizona,2879,6512,0.4421068796068796,7870,760,373,45,119,0.37815126050420167
211,211,1320,Northern Iowa,2753,6343,0.4340217562667507,8132,693,276,68,123,0.5528455284552846
212,212,1321,Northwestern,2842,6681,0.4253854213441101,8282,733,436,63,127,0.49606299212598426
213,213,1322,Northwestern LA,3080,6936,0.4440599769319492,8850,984,660,63,115,0.5478260869565217
214,214,1323,Notre Dame,3355,7403,0.4531946508172362,9568,695,471,89,135,0.6592592592592592
215,215,1324,Oakland,3331,7363,0.4523971207388292,9814,860,341,65,126,0.5158730158730159
216,216,1325,Ohio,3407,7649,0.4454177016603478,9734,1121,435,92,135,0.6814814814814815
217,217,1326,Ohio St,3821,8160,0.4682598039215686,10739,1052,558,119,147,0.8095238095238095
218,218,1328,Oklahoma,3194,7231,0.4417093071497718,9078,794,377,72,126,0.5714285714285714
219,219,1329,Oklahoma St,3145,7144,0.4402295632698768,9334,919,539,78,130,0.6
220,220,1330,Old Dominion,3030,7216,0.41990022172949,8433,941,570,68,130,0.5230769230769231
221,221,1331,Oral Roberts,3300,7012,0.4706217912150598,9340,754,434,78,129,0.6046511627906976
222,222,1332,Oregon,3379,7550,0.4475496688741722,9701,1009,449,88,132,0.6666666666666666
223,223,1333,Oregon St,3232,7093,0.4556605103623291,9296,940,502,59,126,0.46825396825396826
224,224,1334,Pacific,2704,6293,0.4296837756237089,7898,595,196,57,119,0.4789915966386555
225,225,1335,Penn,2738,6174,0.4434726271460965,7745,764,316,49,118,0.4152542372881356
226,226,1336,Penn St,2909,7006,0.4152155295461033,8319,677,408,56,129,0.43410852713178294
227,227,1337,Pepperdine,2737,6412,0.4268558951965066,7808,617,368,45,119,0.37815126050420167
228,228,1338,Pittsburgh,3392,7303,0.4644666575379981,9527,778,435,94,134,0.7014925373134329
229,229,1339,Portland,2912,6666,0.4368436843684368,8255,662,420,50,122,0.4098360655737705
230,230,1340,Portland St,2841,6228,0.4561657032755298,8157,629,270,49,114,0.4298245614035088
231,231,1341,Prairie View,2770,7153,0.3872501048511114,7694,845,375,40,122,0.32786885245901637
232,232,1342,Presbyterian,2637,5932,0.4445380984490897,7338,507,232,35,118,0.2966101694915254
233,233,1343,Princeton,2669,5816,0.4589064649243466,7636,699,404,76,113,0.672566371681416
234,234,1344,Providence,3171,7521,0.4216194654966095,9197,807,573,70,129,0.5426356589147286
235,235,1345,Purdue,3363,7748,0.434047496128033,9380,768,566,78,133,0.5864661654135338
236,236,1346,Quinnipiac,3224,7549,0.4270764339647635,9113,562,470,75,124,0.6048387096774194
237,237,1347,Radford,2631,6494,0.4051432091161072,7472,837,369,34,115,0.2956521739130435
238,238,1348,Rhode Island,2884,6929,0.4162216770096695,8201,726,523,47,123,0.3821138211382114
239,239,1349,Rice,2574,6147,0.4187408491947291,7419,724,280,35,116,0.3017241379310345
240,240,1350,Richmond,3127,7129,0.4386309440314209,9233,841,584,82,134,0.6119402985074627
241,241,1351,Rider,3101,6911,0.4487049631023007,9068,788,504,68,128,0.53125
242,242,1352,Robert Morris,3145,7376,0.4263828633405639,9274,1070,303,86,133,0.6466165413533834
243,243,1353,Rutgers,3076,7132,0.4312955692652832,8475,914,518,55,127,0.4330708661417323
244,244,1354,S Carolina St,2557,6471,0.3951475815175398,7031,645,413,20,113,0.17699115044247787
245,245,1355,S Dakota St,3137,6857,0.4574886976812017,9171,699,282,80,122,0.6557377049180327
246,246,1356,S Illinois,2813,6505,0.4324365872405841,7810,863,310,47,124,0.3790322580645161
247,247,1357,Sacred Heart,2966,6813,0.4353441949214736,8397,783,360,39,121,0.32231404958677684
248,248,1358,Sam Houston St,2617,6235,0.4197273456295108,7646,742,289,58,117,0.49572649572649574
249,249,1359,Samford,2680,6013,0.445700981207384,7546,687,262,39,118,0.3305084745762712
250,250,1360,San Diego,2654,6141,0.4321771698420453,7595,683,410,43,119,0.36134453781512604
251,251,1361,San Diego St,3230,7324,0.4410158383397051,9026,827,531,104,130,0.8
252,252,1362,San Francisco,2987,6533,0.4572172049594367,8520,711,260,65,119,0.5462184873949579
253,253,1363,San Jose St,2594,6789,0.3820886728531448,7698,601,274,37,118,0.3135593220338983
254,254,1364,Santa Barbara,2725,6126,0.4448253346392425,7858,666,533,62,115,0.5391304347826087
255,255,1365,Santa Clara,2847,6763,0.4209670264675439,8492,762,453,54,120,0.45
256,256,1366,Savannah St,2431,5977,0.4067257821649657,6846,846,444,55,117,0.4700854700854701
257,257,1367,SC Upstate,2966,6970,0.4255380200860832,8248,816,467,54,122,0.4426229508196721
258,258,1368,SE Louisiana,2414,5850,0.4126495726495726,6934,567,377,42,109,0.3853211009174312
259,259,1369,SE Missouri St,3128,6727,0.4649918239928646,8719,639,487,53,121,0.4380165289256198
260,260,1370,Seattle,2878,6900,0.4171014492753623,7917,854,315,39,113,0.34513274336283184
261,261,1371,Seton Hall,3108,7145,0.4349895031490552,8864,942,387,65,130,0.5
262,262,1372,SF Austin,2634,5779,0.4557881986502855,7277,743,303,82,111,0.7387387387387387
263,263,1373,Siena,2912,7000,0.416,8236,753,457,50,126,0.3968253968253968
264,264,1374,SMU,2734,5977,0.4574201104232893,7827,829,421,62,121,0.512396694214876
265,265,1375,South Alabama,2537,6186,0.4101196249595861,7451,645,505,50,110,0.45454545454545453
266,266,1376,South Carolina,2938,7246,0.4054650841843776,8368,798,576,52,127,0.4094488188976378
267,267,1377,South Dakota,2712,6170,0.439546191247974,7800,653,345,39,110,0.35454545454545455
268,268,1378,South Florida,2852,6809,0.4188573946247613,8027,737,469,55,131,0.4198473282442748
269,269,1379,Southern Miss,3039,6805,0.4465833945628215,8867,873,342,90,124,0.7258064516129032
270,270,1380,Southern Univ,2508,6044,0.414956982131039,7152,670,450,53,114,0.4649122807017544
271,271,1381,Southern Utah,2609,5998,0.4349783261087029,7368,560,423,32,114,0.2807017543859649
272,272,1382,St Bonaventure,3056,6728,0.4542211652794292,8886,753,459,68,124,0.5483870967741935
273,273,1383,St Francis NY,2916,6915,0.4216919739696312,8318,810,381,59,121,0.48760330578512395
274,274,1384,St Francis PA,2644,6186,0.427416747494342,7440,693,319,30,119,0.25210084033613445
275,275,1385,St John's,3178,7311,0.4346874572561893,8792,944,686,70,128,0.546875
276,276,1386,St Joseph's PA,3135,6985,0.4488188976377952,8951,636,744,73,130,0.5615384615384615
277,277,1387,St Louis,3040,6840,0.4444444444444444,8705,914,440,89,129,0.689922480620155
278,278,1388,St Mary's CA,3271,7000,0.4672857142857143,9518,785,394,96,128,0.75
279,279,1389,St Peter's,2714,6680,0.4062874251497006,7617,907,504,48,126,0.38095238095238093
280,280,1390,Stanford,3145,7176,0.4382664437012263,9025,704,476,75,128,0.5859375
281,281,1391,Stetson,2811,6440,0.4364906832298136,7961,746,354,37,119,0.31092436974789917
282,282,1392,Stony Brook,2876,6782,0.4240636980241816,8150,700,344,80,123,0.6504065040650406
283,283,1393,Syracuse,3720,8196,0.4538799414348463,10307,1259,892,118,144,0.8194444444444444
284,284,1394,TAM C. Christi,2573,6048,0.4254298941798942,7194,715,399,34,116,0.29310344827586204
285,285,1395,TCU,2767,6648,0.4162154031287605,7921,754,326,45,124,0.3629032258064516
286,286,1396,Temple,3408,7700,0.4425974025974026,9548,908,525,83,131,0.6335877862595419
287,287,1397,Tennessee,3083,7082,0.4353290031064671,8877,729,537,76,129,0.5891472868217055
288,288,1398,Tennessee St,2697,6236,0.4324887748556767,7962,762,403,50,117,0.42735042735042733
289,289,1399,Tennessee Tech,2819,6280,0.4488853503184713,8121,772,356,59,117,0.5042735042735043
290,290,1400,Texas,3365,7757,0.4338017274719608,9701,833,656,87,135,0.6444444444444445
291,291,1401,Texas A&M,2933,6748,0.4346473029045643,8245,807,345,71,128,0.5546875
292,292,1402,Texas St,2874,6698,0.4290833084502836,8196,833,350,40,117,0.3418803418803419
