,team_id,team_name,fgm,fga
127,1228,Illinois,3243,7515
128,1229,Illinois St,2979,6901
129,1230,Incarnate Word,399,863
130,1231,Indiana,3469,7353
131,1232,Indiana St,2832,6597
132,1233,Iona,3828,7993
133,1234,Iowa,3280,7381
134,1235,Iowa St,3645,8041
135,1236,IPFW,2958,6519
136,1237,IUPUI,2939,6620
137,1238,Jackson St,2610,6527
138,1239,Jacksonville,2816,6656
139,1240,Jacksonville St,2505,5940
140,1241,James Madison,3021,7048
141,1242,Kansas,4027,8238
142,1243,Kansas St,3244,7451
143,1244,Kennesaw,2649,6448
144,1245,Kent,3109,7127
145,1246,Kentucky,3796,8103
146,1247,La Salle,3388,7630
147,1248,Lafayette,3004,6732
148,1249,Lamar,2934,6956
149,1250,Lehigh,3102,7095
150,1251,Liberty,2878,6622
151,1252,Lipscomb,2913,6716
152,1253,Long Beach St,3104,6939
153,1254,Long Island,3470,7510
154,1255,Longwood,2837,6620
155,1256,Louisiana Tech,3151,7427
156,1257,Louisville,3943,8753
157,1258,Loy Marymount,2923,6968
158,1259,Loyola MD,2861,6791
159,1260,Loyola-Chicago,2718,6212
160,1261,LSU,3113,7414
161,1262,MA Lowell,544,1388
162,1263,Maine,2806,6419
163,1264,Manhattan,2852,6724
164,1265,Marist,2802,6874
165,1266,Marquette,3534,7771
166,1267,Marshall,3074,7149
167,1268,Maryland,3354,7485
168,1269,Massachusetts,3253,7521
169,1270,McNeese St,2707,6616
170,1271,MD E Shore,2439,6388
171,1272,Memphis,3669,7774
172,1273,Mercer,3004,6769
173,1274,Miami FL,3167,7230
174,1275,Miami OH,2668,6178
175,1276,Michigan,3498,7508
176,1277,Michigan St,3526,7655
177,1278,Minnesota,3133,6947
178,1279,Mississippi,3441,7961
179,1280,Mississippi St,3016,6954
180,1281,Missouri,3631,7741
181,1282,Missouri KC,2748,6397
182,1283,Missouri St,2885,6704
183,1284,Monmouth NJ,2900,7052
184,1285,Montana,2785,5999
185,1286,Montana St,2588,6241
186,1287,Morehead St,2921,6649
187,1288,Morgan St,2990,6937
189,1290,MS Valley St,2854,7223
190,1291,Mt St Mary's,2935,6846
191,1292,MTSU,3054,6699
192,1293,Murray St,2785,6073
193,1294,N Colorado,2790,6073
194,1295,N Dakota St,2948,6172
195,1296,N Illinois,2388,6253
196,1297,N Kentucky,1257,2981
197,1298,Navy,2450,6209
198,1299,NC A&T,2700,6704
199,1300,NC Central,2543,5728
200,1301,NC State,3654,7886
202,1303,NE Omaha,1896,4268
203,1304,Nebraska,2809,6519
204,1305,Nevada,2947,6832
205,1306,New Hampshire,2292,6045
206,1307,New Mexico,3241,7209
207,1308,New Mexico St,3317,7148
208,1309,New Orleans,1058,2518
209,1310,Niagara,3098,7587
210,1311,Nicholls St,2523,5849
211,1312,NJIT,2428,5912
212,1313,Norfolk St,3099,7076
213,1314,North Carolina,4046,8960
214,1315,North Dakota,2768,6417
215,1316,North Florida,2969,6750
216,1317,North Texas,2909,6691
217,1318,Northeastern,2882,6569
218,1319,Northern Arizona,2879,6512
219,1320,Northern Iowa,2753,6343
220,1321,Northwestern,2842,6681
221,1322,Northwestern LA,3080,6936
222,1323,Notre Dame,3355,7403
223,1324,Oakland,3331,7363
224,1325,Ohio,3407,7649
225,1326,Ohio St,3821,8160
227,1328,Oklahoma,3194,7231
228,1329,Oklahoma St,3145,7144
229,1330,Old Dominion,3030,7216
230,1331,Oral Roberts,3300,7012
231,1332,Oregon,3379,7550
232,1333,Oregon St,3232,7093
233,1334,Pacific,2704,6293
234,1335,Penn,2738,6174
235,1336,Penn St,2909,7006
236,1337,Pepperdine,2737,6412
237,1338,Pittsburgh,3392,7303
238,1339,Portland,2912,6666
239,1340,Portland St,2841,6228
240,1341,Prairie View,2770,7153
241,1342,Presbyterian,2637,5932
242,1343,Princeton,2669,5816
243,1344,Providence,3171,7521
244,1345,Purdue,3363,7748
245,1346,Quinnipiac,3224,7549
246,1347,Radford,2631,6494
247,1348,Rhode Island,2884,6929
248,1349,Rice,2574,6147
249,1350,Richmond,3127,7129
250,1351,Rider,3101,6911
251,1352,Robert Morris,3145,7376
252,1353,Rutgers,3076,7132
253,1354,S Carolina St,2557,6471
254,1355,S Dakota St,3137,6857
255,1356,S Illinois,2813,6505
256,1357,Sacred Heart,2966,6813
257,1358,Sam Houston St,2617,6235
258,1359,Samford,2680,6013
259,1360,San Diego,2654,6141
260,1361,San Diego St,3230,7324
261,1362,San Francisco,2987,6533
262,1363,San Jose St,2594,6789
263,1364,Santa Barbara,2725,6126
264,1365,Santa Clara,2847,6763
265,1366,Savannah St,2431,5977
266,1367,SC Upstate,2966,6970
267,1368,SE Louisiana,2414,5850
268,1369,SE Missouri St,3128,6727
269,1370,Seattle,2878,6900
270,1371,Seton Hall,3108,7145
271,1372,SF Austin,2634,5779
272,1373,Siena,2912,7000
273,1374,SMU,2734,5977
274,1375,South Alabama,2537,6186
275,1376,South Carolina,2938,7246
276,1377,South Dakota,2712,6170
277,1378,South Florida,2852,6809
278,1379,Southern Miss,3039,6805
279,1380,Southern Univ,2508,6044
280,1381,Southern Utah,2609,5998
281,1382,St Bonaventure,3056,6728
282,1383,St Francis NY,2916,6915
283,1384,St Francis PA,2644,6186
284,1385,St John's,3178,7311
285,1386,St Joseph's PA,3135,6985
286,1387,St Louis,3040,6840
287,1388,St Mary's CA,3271,7000
288,1389,St Peter's,2714,6680
289,1390,Stanford,3145,7176
290,1391,Stetson,2811,6440
291,1392,Stony Brook,2876,6782
292,1393,Syracuse,3720,8196
293,1394,TAM C. Christi,2573,6048
294,1395,TCU,2767,6648
295,1396,Temple,3408,7700
296,1397,Tennessee,3083,7082
297,1398,Tennessee St,2697,6236
298,1399,Tennessee Tech,2819,6280
299,1400,Texas,3365,7757
300,1401,Texas A&M,2933,6748
301,1402,Texas St,2874,6698
302,1403,Texas Tech,2972,6753
303,1404,TN Martin,2707,6623
304,1405,Toledo,2891,6609
305,1406,Towson,2762,6536
306,1407,Troy,2778,6875
307,1408,Tulane,2626,6288
308,1409,Tulsa,2987,6778
309,1410,TX Pan American,2517,6134
310,1411,TX Southern,2919,6710
311,1412,UAB,2964,6971
312,1413,UC Davis,2792,6316
313,1414,UC Irvine,3074,7149
314,1415,UC Riverside,2563,6204
315,1416,UCF,2796,6368
316,1417,UCLA,3594,7744
317,1418,ULL,3008,6895
318,1419,ULM,2429,5819
319,1420,UMBC,2717,6800
320,1421,UNC Asheville,3048,6731
321,1422,UNC Greensboro,2981,7142
322,1423,UNC Wilmington,2778,6667
323,1424,UNLV,3396,7612
324,1425,USC,3007,7080
325,1426,UT Arlington,2859,6634
326,1427,UT San Antonio,2727,6465
327,1428,Utah,2744,6324
328,1429,Utah St,3012,6504
329,1430,Utah Valley,2601,6063
330,1431,UTEP,2979,6468
332,1433,VA Commonwealth,3707,8642
333,1434,Valparaiso,3026,6478
334,1435,Vanderbilt,3103,7043
335,1436,Vermont,3003,6697
336,1437,Villanova,3087,7161
337,1438,Virginia,2928,6574
338,1439,Virginia Tech,2990,7029
339,1440,VMI,3088,7139
340,1441,W Carolina,3156,7492
341,1442,W Illinois,2319,5261
342,1443,W Kentucky,3090,7419
343,1444,W Michigan,2977,6724
346,1447,Wagner,2954,6827
347,1448,Wake Forest,2925,6741
348,1449,Washington,3567,7910
349,1450,Washington St,2856,6532
350,1451,Weber St,2763,5954
351,1452,West Virginia,3187,7433
352,1453,WI Green Bay,2809,6407
353,1454,WI Milwaukee,2805,6739
354,1455,Wichita St,3426,7475
355,1456,William & Mary,2771,6195
356,1457,Winthrop,2633,6319
357,1458,Wisconsin,3217,7387
358,1459,Wofford,2910,6669
359,1460,Wright St,2683,6278
360,1461,Wyoming,2542,5762
361,1462,Xavier,3251,7062
362,1463,Yale,2388,5667
363,1464,Youngstown St,2811,6532
