season,daynum,wteam,wscore,lteam,lscore,wloc,numot,wfgm,wfga,wfgm3,wfga3,wftm,wfta,wor,wdr,wast,wto,wstl,wblk,wpf,lfgm,lfga,lfgm3,lfga3,lftm,lfta,lor,ldr,last,lto,lstl,lblk,lpf,rpiRankW,rpiRankL,ptsW,ptsL,fgPcgW,fgPcgL,stlW,stlL,blkW,blkL
2012,11,1228,67,1260,49,H,0,28,59,6,21,5,9,13,19,9,12,10,13,17,18,51,4,14,9,14,15,16,11,22,1,0,14,77.0,314.0,2098,1648,0.4405514072372199,0.4180386542591267,162,132,132,40
2012,11,1231,96,1392,66,H,0,34,52,7,14,21,24,8,24,21,14,9,2,14,26,62,5,20,9,15,16,10,8,16,5,1,20,12.0,165.0,2782,1971,0.4922199170124481,0.4233532934131736,233,156,115,48
2012,11,1232,79,1183,72,H,0,22,53,6,19,29,36,12,24,14,14,3,3,14,27,56,6,15,12,12,5,22,13,16,7,2,26,140.0,286.0,1992,1726,0.4172307692307692,0.4277891854893908,179,144,97,59
2012,11,1234,96,1152,53,H,0,30,70,9,27,27,32,17,26,22,10,14,1,13,23,54,1,10,6,10,7,25,13,27,3,2,22,112.0,337.0,2374,1738,0.4504602057390363,0.3943139678615575,253,200,114,90
2012,11,1242,100,1406,54,H,0,41,70,10,23,8,12,12,20,30,5,15,7,20,18,51,3,9,15,20,15,20,4,23,3,3,15,4.0,311.0,2867,1647,0.471889400921659,0.3668564199873498,285,177,222,135
2012,11,1243,72,1149,67,H,0,24,56,2,16,22,33,13,26,12,19,6,7,19,21,67,6,21,19,23,22,26,9,22,10,1,34,39.0,181.0,2343,2110,0.4391563007030827,0.4363095238095238,200,227,156,73
2012,11,1246,108,1265,58,H,0,46,75,4,10,12,15,15,36,24,9,8,13,18,20,63,6,18,12,23,13,16,10,14,2,4,15,1.0,213.0,3095,2176,0.4875444839857651,0.4158016147635525,242,187,344,140
2012,11,1247,79,1248,53,H,0,30,61,9,16,10,14,12,32,18,10,7,4,21,18,50,3,10,14,22,5,22,7,12,3,1,18,90.0,206.0,2417,2161,0.4634146341463415,0.4381818181818182,265,164,109,80
2012,11,1249,65,1117,62,H,0,21,61,5,14,18,25,18,25,14,18,13,8,22,21,54,6,13,14,24,13,25,13,20,7,5,23,131.0,211.0,2383,2090,0.4264479753972321,0.4267216009417304,255,196,142,77
2012,11,1257,83,1404,48,H,0,31,57,9,23,12,21,13,33,20,19,12,8,19,16,54,6,18,10,19,11,18,11,21,7,2,20,9.0,330.0,2727,1781,0.4221832529592284,0.4045656309448319,353,175,193,68
2012,11,1258,69,1417,58,A,0,27,59,10,15,5,7,7,27,12,12,6,1,12,24,59,2,15,8,12,9,26,12,10,7,6,14,109.0,111.0,1974,2171,0.4238451935081148,0.4594137542277339,206,254,80,138
2012,11,1266,91,1291,37,H,0,36,64,4,19,15,20,12,24,26,10,19,5,13,16,55,2,18,3,6,16,17,11,29,4,1,18,10.0,296.0,2638,1748,0.4520413182488932,0.4242622950819672,304,178,122,99
2012,11,1267,67,1106,49,H,0,24,55,3,17,16,25,18,22,13,19,12,3,23,17,46,6,20,9,22,12,15,7,22,6,1,24,49.0,318.0,2295,1674,0.4325025960539979,0.3728813559322034,201,217,130,88
2012,11,1269,85,1189,67,H,0,27,61,6,22,25,36,12,29,16,16,14,5,18,21,61,9,35,16,21,13,27,14,25,6,1,22,80.0,236.0,2533,1979,0.4330443159922928,0.4130177514792899,293,129,157,73
2012,11,1274,69,1399,58,H,0,21,54,7,22,20,25,14,28,10,14,7,3,18,19,47,8,17,12,19,5,21,7,15,5,5,22,58.0,149.0,2206,2144,0.4318693693693693,0.4626021370207416,196,195,114,69
2012,11,1278,70,1137,58,H,0,22,55,3,15,23,35,15,26,13,10,7,6,21,16,46,7,16,19,23,6,27,8,14,2,1,28,71.0,97.0,2224,2191,0.459696261682243,0.463030303030303,236,139,165,99
2012,11,1279,60,1419,38,H,0,19,57,5,26,17,27,13,35,8,15,8,8,16,14,49,3,15,7,18,6,28,11,18,4,2,20,60.0,323.0,2182,1682,0.4303728070175439,0.4078771695594125,214,149,174,62
2012,11,1281,83,1369,68,H,0,27,58,6,16,23,27,11,25,11,10,7,5,15,27,57,4,11,10,15,9,22,12,14,4,2,24,15.0,248.0,2814,2015,0.5043701799485861,0.4681647940074906,285,140,97,99
2012,11,1283,68,1305,46,A,0,27,62,9,27,5,7,8,34,16,9,4,2,23,13,50,5,25,15,29,13,29,8,14,3,2,17,128.0,67.0,2039,2191,0.4354371742906774,0.4504504504504504,145,181,66,149
2012,11,1292,80,1122,71,H,0,27,49,5,13,21,31,11,23,17,20,9,5,26,23,59,6,18,19,36,22,19,9,19,8,4,27,65.0,193.0,2142,2144,0.4916666666666666,0.4439306358381503,211,222,132,110
2012,11,1295,73,1362,65,A,0,27,55,5,19,14,21,5,28,18,16,10,1,21,25,55,4,15,11,20,8,28,9,21,9,0,25,179.0,138.0,2100,2332,0.4836814621409921,0.4706886738759249,170,256,105,55
2012,11,1298,78,1255,70,A,0,27,50,6,15,18,28,7,33,20,14,4,2,18,25,61,5,21,15,24,10,23,7,8,3,3,23,329.0,332.0,1590,1907,0.398716119828816,0.4155688622754491,204,138,50,55
2012,11,1301,84,1421,75,H,0,29,66,6,19,20,28,16,34,21,14,10,7,18,23,66,10,25,19,26,14,22,10,12,7,1,21,29.0,107.0,2697,2421,0.457825679475164,0.4673337257210123,249,245,150,67
2012,11,1304,65,1377,48,H,0,23,53,7,14,12,19,14,31,9,18,8,6,14,17,55,5,21,9,13,10,19,5,15,9,4,15,137.0,285.0,1827,1810,0.4266929651545036,0.4445205479452054,198,167,78,88
2012,11,1314,67,1277,55,N,0,24,51,4,12,15,23,8,26,14,14,6,11,14,22,72,2,20,9,13,24,25,8,15,7,3,25,3.0,6.0,3091,2651,0.4585523655479175,0.4771371769383697,259,265,219,157
2012,11,1318,82,1131,74,A,1,28,62,4,16,22,27,19,33,14,19,4,6,20,28,67,5,28,13,23,12,20,8,9,9,3,24,186.0,202.0,1941,2045,0.42811906269791,0.4222481071636575,246,187,119,98
2012,11,1326,73,1460,42,H,0,21,47,5,14,26,38,7,27,14,14,10,3,18,13,41,6,18,10,15,2,26,7,25,1,0,27,5.0,210.0,2913,1777,0.4763406940063091,0.3968253968253968,281,203,125,50
2012,11,1328,78,1226,74,H,0,23,63,8,23,24,33,18,23,18,15,8,6,20,28,60,7,24,11,17,12,25,22,20,7,0,30,118.0,293.0,2142,1886,0.4345922276956759,0.4149403640929064,194,202,96,64
2012,11,1329,71,1394,39,H,0,26,58,6,21,13,22,8,30,11,6,11,8,18,16,49,1,15,6,14,9,28,7,20,4,6,23,115.0,320.0,2129,1755,0.4207138677589233,0.3958333333333333,204,171,135,111
2012,11,1335,59,1420,45,A,0,21,51,6,18,11,18,6,25,13,12,9,3,22,16,48,0,11,13,21,11,28,6,20,7,2,16,95.0,341.0,2019,1897,0.4458874458874459,0.3913291500285225,229,175,74,54
2012,11,1338,89,1107,56,H,0,34,63,13,22,8,10,15,20,24,7,6,2,17,19,44,3,17,15,23,8,15,7,11,3,3,11,81.0,227.0,2267,2374,0.4502732240437158,0.445414847161572,162,182,91,93
2012,11,1345,96,1296,34,H,0,31,67,14,28,20,26,15,28,23,9,14,6,13,14,57,3,18,3,5,16,21,7,28,4,4,23,35.0,336.0,2514,1644,0.4403169886082219,0.3660426081342802,226,150,110,72
2012,11,1347,58,1174,54,H,0,19,58,8,27,12,21,11,36,7,11,6,4,25,15,52,2,14,22,36,10,32,8,12,3,5,19,326.0,157.0,1802,2148,0.380273321449792,0.4251461988304094,209,144,76,153
2012,11,1350,66,1110,56,H,0,18,48,3,16,27,33,11,23,8,6,8,5,14,19,57,10,24,8,11,17,22,14,15,2,3,21,129.0,166.0,2207,1998,0.4273907910271546,0.4282162834058421,194,138,161,85
2012,11,1352,83,1351,57,H,0,31,67,11,26,10,20,19,24,15,13,15,2,26,16,45,7,21,18,26,12,23,6,25,7,2,22,117.0,200.0,2335,2291,0.4170258620689655,0.4500875656742557,288,191,86,127
2012,11,1353,62,1171,56,H,0,22,46,2,4,16,23,11,26,9,16,7,6,18,19,52,4,22,14,16,8,15,8,12,5,0,20,141.0,321.0,2095,1663,0.4239733629300777,0.3919011667810569,261,157,122,70
2012,11,1357,70,1216,50,N,0,22,60,5,18,21,31,11,42,14,19,10,5,18,18,66,5,30,9,16,10,33,10,18,13,6,21,243.0,310.0,2277,1860,0.4595671981776765,0.4139240506329114,211,205,102,64
2012,11,1361,75,1136,63,H,0,31,58,2,12,11,25,12,33,19,11,6,3,9,25,67,10,30,3,4,9,23,15,10,5,1,21,27.0,340.0,2239,1852,0.4501679731243001,0.4034440344403444,171,133,74,64
2012,11,1376,75,1441,50,H,0,30,59,5,12,10,17,18,19,14,12,11,5,14,17,47,6,18,10,16,13,16,10,19,8,4,17,159.0,233.0,1903,2253,0.4022183304144775,0.412863070539419,212,251,151,95
2012,11,1381,76,1413,75,N,0,28,61,1,9,19,25,14,29,18,15,6,0,20,26,53,8,25,15,25,3,20,11,11,8,3,21,232.0,334.0,1900,1840,0.4712566844919786,0.4084778420038535,153,143,67,70
2012,11,1382,79,1165,58,H,0,27,54,6,18,19,26,10,25,16,10,8,4,19,19,45,8,20,12,19,5,21,12,18,5,2,22,82.0,176.0,2254,1755,0.4564315352697095,0.4045242847638057,186,210,133,78
2012,11,1386,72,1443,61,A,0,24,49,6,14,18,25,3,32,12,15,7,9,20,18,68,4,19,21,27,20,26,8,12,6,3,20,68.0,156.0,2381,2272,0.4712707182320442,0.3939549180327868,159,195,234,146
2012,11,1387,71,1398,37,H,0,25,48,8,16,13,18,8,21,16,13,9,5,14,14,47,4,13,5,7,11,17,6,22,3,3,21,28.0,127.0,2264,2017,0.4509692132269099,0.4375396322130628,227,214,96,101
2012,11,1390,91,1146,52,H,0,32,59,5,14,22,38,20,29,16,13,7,2,24,19,48,1,15,13,28,7,17,5,18,4,4,29,94.0,322.0,2256,1795,0.4392935982339956,0.4133977066988533,197,202,102,75
2012,11,1391,65,1126,60,H,0,23,42,6,12,13,24,6,30,15,29,8,4,23,19,73,4,19,18,25,27,20,6,19,16,2,23,270.0,253.0,2015,2143,0.4405724953329185,0.4353741496598639,185,219,79,84
2012,11,1395,73,1195,72,H,0,27,55,4,18,15,21,9,15,17,16,10,5,17,27,44,6,14,12,19,8,22,17,29,8,3,21,108.0,215.0,2115,2227,0.4272189349112426,0.4536082474226804,200,253,74,121
2012,11,1397,92,1422,63,H,0,31,48,15,24,15,22,7,24,21,13,7,6,19,27,65,3,10,6,15,20,14,12,10,8,1,20,74.0,241.0,2123,2160,0.4361259655377302,0.4031578947368421,176,233,134,81
2012,11,1403,90,1407,85,H,0,33,54,10,19,14,24,7,26,15,19,3,4,25,29,61,9,24,18,32,14,17,9,13,6,3,26,214.0,264.0,1844,1880,0.4380952380952381,0.4084084084084084,161,170,92,97
2012,11,1408,72,1105,63,H,0,24,50,2,8,22,34,8,26,12,13,5,2,15,23,55,8,20,9,16,10,27,12,19,6,2,29,225.0,342.0,1841,1589,0.4167215273206057,0.4025695931477516,201,160,95,104
2012,11,1409,65,1114,49,H,0,20,52,7,19,18,30,19,37,12,17,2,9,17,16,58,3,13,14,19,8,19,6,8,7,3,24,116.0,171.0,2093,1872,0.4502219403931515,0.3971050975456262,149,190,153,93
2012,11,1418,83,1319,66,N,0,33,53,8,16,9,18,6,24,21,22,7,11,24,20,57,7,16,19,28,18,18,10,24,10,3,20,182.0,335.0,2024,1621,0.4261704681872749,0.3954116059379217,163,171,144,58
2012,11,1425,66,1169,59,H,0,20,47,0,15,26,36,12,34,10,20,5,6,22,16,64,4,21,23,26,14,21,2,12,9,0,30,259.0,327.0,1683,1714,0.3872135102533172,0.3762376237623762,184,154,65,62
2012,11,1427,73,1431,64,A,0,27,54,7,14,12,17,7,19,11,12,15,4,21,23,51,7,21,11,20,13,23,19,21,6,2,14,207.0,136.0,2148,2021,0.4413373860182371,0.457808564231738,240,151,90,87
2012,11,1429,69,1140,62,H,0,22,48,5,15,20,29,11,20,11,18,6,3,21,22,47,3,14,15,22,9,20,16,20,7,4,26,142.0,41.0,2081,2575,0.4720101781170484,0.4637096774193548,120,275,98,143
2012,11,1433,63,1384,57,H,0,21,64,7,30,14,20,20,19,10,10,14,4,18,20,42,6,13,11,16,7,26,9,20,3,1,17,40.0,308.0,2448,1763,0.4102941176470588,0.4585091420534458,379,188,132,80
2012,11,1434,90,1204,81,A,0,27,50,4,19,32,45,16,21,10,20,5,1,25,26,53,6,11,23,32,11,17,11,20,7,1,32,103.0,219.0,2106,1830,0.4685638649900728,0.4581646423751687,183,211,88,63
2012,11,1435,78,1332,64,H,0,27,66,9,28,15,27,17,24,16,8,11,6,20,26,53,6,20,6,17,11,28,15,20,4,5,24,11.0,52.0,2615,2237,0.4606975533576262,0.4614024749558044,214,188,144,110
2012,11,1437,106,1284,70,H,0,36,66,12,25,22,26,15,34,22,16,9,4,21,23,64,8,31,16,23,11,18,15,16,9,8,21,106.0,245.0,2266,2140,0.4123376623376623,0.4188679245283019,178,253,101,49
2012,11,1440,103,1154,100,N,0,36,72,7,26,24,30,11,28,14,13,5,5,26,34,65,7,17,25,32,8,28,23,15,6,2,26,269.0,324.0,2299,1737,0.4363021420518602,0.4284750337381916,227,161,105,45
2012,11,1448,75,1259,63,H,0,24,49,5,13,22,46,12,27,10,17,4,9,22,22,63,1,14,18,26,19,26,10,18,6,6,34,164.0,92.0,2029,2222,0.4271543707377557,0.4253521126760563,162,255,142,147
2012,11,1452,78,1331,71,H,0,30,51,5,15,13,17,7,17,19,21,13,3,25,23,57,3,12,22,30,21,16,14,22,11,0,18,47.0,53.0,2346,2408,0.4378265412748171,0.4866743916570104,210,217,85,82
2012,11,1462,74,1288,63,H,0,28,57,6,14,12,24,10,30,18,15,8,7,24,19,58,2,15,23,36,14,26,10,12,9,5,20,36.0,291.0,2543,1934,0.452896725440806,0.4294790343074968,216,191,135,130
2012,11,1463,73,1148,69,N,0,27,59,7,18,12,21,12,24,17,18,10,5,25,22,61,3,14,22,29,17,26,14,17,10,6,23,132.0,226.0,1733,2029,0.4248175182481752,0.4245115452930728,134,235,95,103
2012,12,1102,75,1440,65,H,0,28,56,6,22,13,18,11,30,20,14,5,4,16,22,56,10,30,11,15,8,21,11,14,6,4,21,152.0,269.0,1638,2299,0.4444444444444444,0.4363021420518602,169,227,80,105
2012,12,1136,70,1413,63,N,0,27,63,13,36,3,8,13,24,19,13,7,4,13,22,55,14,29,5,9,9,24,16,19,8,2,14,340.0,334.0,1852,1840,0.4034440344403444,0.4084778420038535,133,143,64,70
2012,12,1142,79,1363,52,H,0,28,64,5,19,18,25,20,27,12,12,11,3,23,12,42,3,14,25,32,5,21,4,17,6,3,22,224.0,274.0,1978,1990,0.4259259259259259,0.3875790684301322,171,145,45,36
2012,12,1154,83,1119,72,N,0,27,53,5,16,24,34,7,29,13,11,5,1,19,23,55,7,21,19,26,6,24,12,12,8,2,26,324.0,294.0,1737,1932,0.4284750337381916,0.4160206718346253,161,171,45,54
2012,12,1159,78,1127,74,A,0,24,49,6,18,24,32,7,36,7,18,4,4,26,22,67,4,19,26,37,18,23,11,10,12,3,26,298.0,345.0,1893,1762,0.4308093994778068,0.3970867637745408,111,187,68,67
2012,12,1173,87,1442,58,H,0,37,65,10,26,3,4,9,24,25,8,10,2,20,20,49,1,10,17,21,8,19,8,16,4,2,10,72.0,162.0,2294,1815,0.439241917502787,0.4563106796116505,171,176,89,82
2012,12,1181,96,1342,55,H,0,35,57,8,16,18,31,13,30,18,10,6,3,15,17,53,5,15,16,17,7,17,6,15,7,0,21,7.0,244.0,2628,1786,0.456396866840731,0.4584253127299484,210,123,136,49
2012,12,1184,71,1457,59,A,0,24,50,12,30,11,16,6,22,16,9,8,4,17,21,58,4,19,13,17,17,24,13,13,6,4,16,229.0,276.0,1957,1849,0.4295511221945137,0.4089264173703257,211,199,56,93
2012,12,1191,80,1139,77,H,1,21,51,6,14,32,43,9,25,9,17,10,1,25,27,58,8,24,15,24,9,24,16,18,6,5,29,121.0,113.0,2185,2054,0.4544334975369458,0.4087301587301587,226,211,49,107
2012,12,1207,83,1366,54,H,0,34,51,8,15,7,12,7,27,22,14,8,10,18,20,58,6,18,8,16,16,13,12,16,6,0,16,18.0,205.0,2190,1872,0.461447212336892,0.4156739811912225,194,195,153,95
2012,12,1214,73,1456,58,H,0,27,64,8,27,11,21,17,25,15,8,8,1,21,18,45,6,18,16,23,5,25,6,15,3,1,20,303.0,300.0,2134,1861,0.4025903939557474,0.4060913705583756,226,147,160,63
2012,12,1222,88,1212,42,H,0,33,66,7,17,15,28,15,24,16,7,12,7,16,12,47,4,23,14,17,12,27,6,27,2,4,20,188.0,343.0,2062,1513,0.4607013301088271,0.3588154269972451,150,135,142,101
2012,12,1235,86,1250,77,H,0,30,53,10,22,16,21,10,28,13,18,5,4,20,28,63,5,21,16,22,12,16,12,10,8,3,19,33.0,101.0,2490,2553,0.4486228813559322,0.4409969481180061,196,263,96,99
2012,12,1236,83,1303,72,H,0,29,59,8,18,17,21,10,29,18,18,8,2,15,27,65,7,24,11,16,11,22,14,15,7,2,20,273.0,339.0,2015,1103,0.4507481296758104,0.4223149113660062,177,80,68,31
2012,12,1253,69,1225,61,H,0,26,60,6,20,11,17,16,19,17,10,6,2,18,23,48,5,9,10,16,10,21,12,16,3,1,18,56.0,151.0,2355,1999,0.4643665158371041,0.4722222222222222,217,136,87,117
2012,12,1261,96,1311,74,H,0,30,71,11,24,25,31,20,21,20,9,14,3,14,26,51,13,27,9,13,5,24,12,23,6,0,24,79.0,306.0,2081,1805,0.4051906779661017,0.4198931909212283,229,143,125,52
2012,12,1264,62,1312,48,H,0,18,54,2,20,24,31,14,24,8,13,6,3,19,18,48,4,19,8,14,11,25,8,21,6,1,28,158.0,301.0,2274,1872,0.4310148232611174,0.4052206339341205,258,193,157,78
2012,12,1280,80,1375,65,H,0,28,69,8,27,16,21,18,23,13,6,6,5,11,26,57,4,10,9,11,8,25,10,14,4,5,20,63.0,167.0,2281,1861,0.4554016620498615,0.4253539253539253,192,138,113,135
2012,12,1295,78,1418,58,N,0,24,50,7,16,23,27,5,23,12,11,7,3,26,19,53,1,10,19,31,15,25,9,13,4,5,24,179.0,182.0,2100,2024,0.4836814621409921,0.4261704681872749,170,163,105,144
2012,12,1308,89,1294,75,A,0,29,54,5,14,26,41,13,28,17,21,7,5,20,29,60,8,20,9,15,8,19,16,20,10,5,29,57.0,257.0,2620,1868,0.4692708333333333,0.4817572598659717,229,141,141,60
2012,12,1320,63,1330,46,A,0,24,49,9,23,6,7,5,26,12,17,10,3,24,12,44,5,17,17,25,12,21,9,19,8,5,14,76.0,96.0,2002,2162,0.4286616161616162,0.4050235478806907,181,290,60,148
2012,12,1323,80,1290,67,H,0,24,54,8,19,24,29,10,29,19,11,5,2,12,28,63,8,23,3,8,9,21,16,12,5,0,23,43.0,189.0,2257,2332,0.4338888888888889,0.4009876543209876,177,300,114,87
